"country_code","country","unit_code","unit","financing_code","financing_scheme","year","value"
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,6.948
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,6.944
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,6.979
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,6.968
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,7.322
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,7.65
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,7.754
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,7.179
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,7.507
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,7.882
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,8.15
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2015,10.097
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2016,10.06
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2017,10.093
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2018,10.082
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2019,10.262
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2020,10.743
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2021,10.561
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2022,9.957
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2023,10.362
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2024,10.838
"AUS","Australia","PT_B1GQ","Percentage of GDP","_T","Total",2025,11.148
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,3.149
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,3.116
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,3.115
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,3.114
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,2.94
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,3.093
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,2.807
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,2.777
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,2.855
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,2.956
"AUS","Australia","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,2.997
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,7.612
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,7.707
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,7.587
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,7.582
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,7.66
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,9.592
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,8.984
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,7.819
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,8.006
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,8.137
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,8.082
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2015,10.757
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2016,11.045
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2017,10.935
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2018,10.9
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2019,11.023
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2020,12.991
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2021,12.366
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2022,11.02
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2023,11.389
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2024,11.524
"CAN","Canada","PT_B1GQ","Percentage of GDP","_T","Total",2025,11.484
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,3.145
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,3.338
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,3.348
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,3.318
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,3.363
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,3.399
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,3.382
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,3.202
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,3.383
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,3.387
"CAN","Canada","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,3.402
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,4.906
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,5.006
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,5.468
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,5.568
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,5.703
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,6.331
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,5.881
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,5.803
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,6.029
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,5.924
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,5.883
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2015,8.351
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2016,8.558
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2017,9.091
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2018,9.15
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2019,9.334
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2020,9.697
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2021,9.719
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2022,10.01
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2023,10.297
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2024,10.478
"CHL","Chile","PT_B1GQ","Percentage of GDP","_T","Total",2025,10.3
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,3.445
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,3.552
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,3.623
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,3.582
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,3.631
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,3.366
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,3.838
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,4.207
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,4.268
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,4.554
"CHL","Chile","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,4.417
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,9.235
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,9.303
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,9.377
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,9.467
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,9.667
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,10.687
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,10.907
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,10.666
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,9.968
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,10.485
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,10.986
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2015,10.918
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2016,10.974
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2017,11.044
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2018,11.174
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2019,11.42
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2020,12.461
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2021,12.705
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2022,12.301
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2023,11.637
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2024,12.208
"DEU","Germany","PT_B1GQ","Percentage of GDP","_T","Total",2025,12.735
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,1.684
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,1.671
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,1.668
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,1.708
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,1.754
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,1.774
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,1.798
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,1.635
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,1.669
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,1.723
"DEU","Germany","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,1.749
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,8.425
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,9.196
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,9.131
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,9.035
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,8.946
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,9.879
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,10.048
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,9.732
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,9.439
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,9.436
"FRA","France","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,9.444
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2015,11.279
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2016,11.346
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2017,11.245
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2018,11.11
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2019,10.984
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2020,11.916
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2021,12.08
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2022,11.698
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2023,11.327
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2024,11.326
"FRA","France","PT_B1GQ","Percentage of GDP","_T","Total",2025,11.375
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,2.854
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,2.15
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,2.114
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,2.075
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,2.038
"FRA","France","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,2.037
