"country_code","country","unit_code","unit","indicator_code","indicator","year","value"
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2010,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2011,99.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2012,98.9
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2013,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2014,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2015,98
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2016,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2017,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2018,98.8
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2019,98.6
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2020,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2021,97.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2022,97.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2023,97.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2024,97.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2025,96.4
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2010,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2011,99.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2012,98.9
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2013,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2014,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2015,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2016,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2017,99
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2018,98.8
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2019,98.6
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2020,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2021,97.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2022,97.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2023,97.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2024,97.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2025,96.4
"ALB","Albania","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2019,56.1
"ALB","Albania","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2020,49
"ALB","Albania","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2021,59
"ALB","Albania","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2022,74
"ALB","Albania","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2023,74
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2010,98.5
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2011,98.9
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2012,98.7
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2013,98.7
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2014,97.8
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2015,98
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2016,97.7
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2017,97.9
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2018,96.3
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2019,96.2
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2020,94.1
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2021,91.7
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2022,92.8
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2023,93
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2024,91.8
"ALB","Albania","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2025,87.7
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2010,94.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2011,91
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2012,91.3
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2013,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2014,94.1
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2015,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2016,91.9
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2017,88
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2018,86
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2019,83
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2020,74.3
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2021,81.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2022,83.8
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2023,66.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2024,75.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2010,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2011,91
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2012,91.3
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2013,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2014,94.1
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2015,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2016,91.9
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2017,86
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2018,86
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2019,83
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2020,74.3
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2021,81.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2022,83.8
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2023,66.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2024,75.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2010,94
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2011,90.7
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2012,89
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2013,83
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2014,95.6
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2015,86.6
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2016,88.1
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2017,91
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2018,100
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2019,84
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2020,71.4
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2021,79.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2022,94.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2023,54.2
"ARG","Argentina","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2024,46.4
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2010,92
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2011,92
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2012,92.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2013,91.4
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2014,91.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2015,93.1
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2016,94.3
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2017,94.8
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2018,94.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2019,94.9
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2020,95.4
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2021,95
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2022,94.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2023,93.7
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2024,92.7
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2025,91.7
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2010,91.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2011,91.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2012,91.8
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2013,91
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2014,91.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2015,92.8
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2016,94.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2017,94.7
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2018,94.5
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2019,94.9
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2020,95.3
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2021,95
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2022,94.3
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2023,94.1
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2024,94.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2025,93.9
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2019,56.2
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2020,63
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2021,63.4
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2022,66.1
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2023,63.5
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2024,61.1
"AUS","Australia","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2025,61.3
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2010,88.4
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2011,89.8
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2012,91.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2013,92.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2014,92.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2015,93.1
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2016,94
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2017,93.5
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2018,93.5
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2019,93.6
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2020,94.2
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2021,93.9
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2022,91.4
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2023,92.7
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2024,92
"AUS","Australia","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2025,91
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2010,86
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2011,89
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2012,92
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2013,95
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2014,98
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2015,93
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2016,87
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2017,90
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2018,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2019,88
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2020,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2021,86
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2022,84
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2023,87
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2024,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2010,86
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2011,89
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2012,92
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2013,95
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2014,98
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2015,93
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2016,87
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2017,90
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2018,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2019,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2020,85
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2021,86
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2022,84
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2023,84
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","HEPB","Hepatitis B",2024,85
"AUT","Austria","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2014,20.3
"AUT","Austria","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2019,18.3
"AUT","Austria","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2024,23.5
"AUT","Austria","PT_POP_Y_GE65","Percentage of population aged 65 years or over","IFLU","Influenza",2025,25.5
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2010,69
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2011,73
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2012,78
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2013,82
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2014,87
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2015,88
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2016,89
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2017,84
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2018,84
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2019,86
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2020,88
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2021,97
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2022,94
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2023,81
"AUT","Austria","PT_CH_ELG_IM","Percentage of children eligible for immunization","MEAS","Measles",2024,84
"BEL","Belgium","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2010,98
"BEL","Belgium","PT_CH_ELG_IM","Percentage of children eligible for immunization","DIPTETPERT","Diphtheria, Tetanus, Pertussis",2011,98
