"country_code","country","year","life_expectancy"
"ARG","Argentina",2015,76.6
"ARG","Argentina",2016,76.1
"ARG","Argentina",2017,76.5
"ARG","Argentina",2018,76.8
"ARG","Argentina",2019,76.8
"ARG","Argentina",2020,75.9
"ARG","Argentina",2021,73.9
"ARG","Argentina",2022,75.8
"ARG","Argentina",2023,77.4
"ARG","Argentina",2024,77.5
"AUS","Australia",2015,82.4
"AUS","Australia",2016,82.4
"AUS","Australia",2017,82.5
"AUS","Australia",2018,82.8
"AUS","Australia",2019,82.9
"AUS","Australia",2020,83.2
"AUS","Australia",2021,83.3
"AUS","Australia",2022,83.2
"AUS","Australia",2023,83
"AUS","Australia",2024,83
"AUT","Austria",2015,81.2
"AUT","Austria",2016,81.6
"AUT","Austria",2017,81.6
"AUT","Austria",2018,81.7
"AUT","Austria",2019,81.9
"AUT","Austria",2020,81.3
"AUT","Austria",2021,81.3
"AUT","Austria",2022,81.4
"AUT","Austria",2023,81.9
"AUT","Austria",2024,82.1
"BEL","Belgium",2015,80.9
"BEL","Belgium",2016,81.3
"BEL","Belgium",2017,81.4
"BEL","Belgium",2018,81.5
"BEL","Belgium",2019,81.8
"BEL","Belgium",2020,80.8
"BEL","Belgium",2021,81.7
"BEL","Belgium",2022,81.7
"BEL","Belgium",2023,82.3
"BEL","Belgium",2024,82.4
"BRA","Brazil",2015,75.1
"BRA","Brazil",2016,75.1
"BRA","Brazil",2017,75.4
"BRA","Brazil",2018,75.6
"BRA","Brazil",2019,75.8
"BRA","Brazil",2020,74.5
"BRA","Brazil",2021,73
"BRA","Brazil",2022,74.9
"BRA","Brazil",2023,75.8
"BRA","Brazil",2024,76
"BGR","Bulgaria",2015,74.5
"BGR","Bulgaria",2016,74.7
"BGR","Bulgaria",2017,74.6
"BGR","Bulgaria",2018,74.7
"BGR","Bulgaria",2019,74.8
"BGR","Bulgaria",2020,73.3
"BGR","Bulgaria",2021,71.2
"BGR","Bulgaria",2022,74.1
"BGR","Bulgaria",2023,75.7
"BGR","Bulgaria",2024,75.8
"CAN","Canada",2015,81.9
"CAN","Canada",2016,82
"CAN","Canada",2017,81.9
