STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEDICAL_PROCEDURE,Medical procedure,OCCUPATION,Occupation,DIAGNOSTIC_TYPE,Diagnostic category,PROVIDER,Provider,FUNCTION,Healthcare function,MODE_PROVISION,Mode of provision,CARE_TYPE,Care type,HEALTH_FACILITY,Medical technology,AGE,Age,SEX,Sex,DATA_SRCE,Data source,WAITING_TIME,Waiting time,DISEASE,Disease,CANCER_SITE,Cancer site,CONSULTATION_TYPE,Consultation type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,OBS_STATUS4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2019,,56.2,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2020,,63,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2022,,66.1,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2023,,63.5,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2024,,61.1,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUS,Australia,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2025,,61.3,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,AUT,Austria,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2019,,18.3,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,CAN,Canada,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2010,,59.4,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,CAN,Canada,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2011,,64.4,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.2),Healthcare utilisation,I,CAN,Canada,IMMUN,Immunisation,PT_POP_Y_GE65,Percentage of population aged 65 years or over,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IFLU,Influenza,_Z,Not applicable,_Z,Not applicable,2012,,64.1,,,,,,,,,,,,,
